Payment_ID,Payment_Method,Payment_Status,Payment_Date,Refund_Amount
PAY044,Net Banking,Successful,2025-02-18,0
PAY045,Net Banking,Successful,2025-02-19,0
PAY046,Net Banking,Successful,2025-01-23,0
PAY047,Credit Card,Refunded,2025-01-26,2439
PAY048,UPI,Successful,2025-09-06,0
PAY049,UPI,Refunded,2025-04-12,62415
PAY050,UPI,Failed,2025-09-25,0
PAY051,Credit Card,Successful,2025-04-11,0
PAY052,UPI,Successful,2025-06-20,0
PAY053,Debit Card,Successful,2025-04-26,0
PAY054,Net Banking,Successful,2025-10-12,0
PAY055,UPI,Refunded,2025-07-03,217558
PAY056,Wallet,Successful,2025-10-15,0
PAY057,Credit Card,Successful,2025-08-13,0
PAY058,Debit Card,Successful,2025-05-11,0
PAY059,Credit Card,Successful,2025-08-15,0
PAY060,Credit Card,Successful,2025-06-11,0
PAY061,Credit Card,Successful,2025-03-01,0
PAY062,Debit Card,Successful,2025-05-26,0
PAY063,Debit Card,Failed,2025-03-18,0
PAY064,Credit Card,Successful,2025-03-29,0
PAY065,Wallet,Successful,2025-03-26,0
PAY066,Credit Card,Successful,2025-04-18,0
PAY067,UPI,Successful,2025-06-17,0
PAY068,Net Banking,Refunded,2025-05-19,549010
PAY069,UPI,Successful,2025-10-07,0
PAY070,UPI,Successful,2025-01-25,0
PAY071,Net Banking,Successful,2025-02-25,0
PAY072,Debit Card,Successful,2025-08-02,0
PAY073,UPI,Successful,2025-10-25,0
PAY074,Credit Card,Successful,2025-09-30,0
PAY075,Net Banking,Successful,2025-02-10,0
PAY076,Credit Card,Successful,2025-04-14,0
PAY077,UPI,Successful,2025-10-07,0
PAY078,Wallet,Successful,2025-10-01,0
PAY079,UPI,Successful,2025-06-04,0
PAY080,Debit Card,Refunded,2025-01-27,31079
PAY081,UPI,Successful,2025-08-25,0
PAY082,Debit Card,Refunded,2025-02-06,14669
PAY083,Wallet,Successful,2025-07-07,0
PAY084,Net Banking,Successful,2025-04-16,0
PAY085,Debit Card,Successful,2025-06-04,0
PAY086,Net Banking,Successful,2025-04-19,0
PAY087,UPI,Failed,2025-02-08,0
PAY088,Debit Card,Successful,2025-05-25,0
PAY089,Wallet,Successful,2025-05-03,0
PAY090,Debit Card,Successful,2025-08-02,0
PAY091,UPI,Successful,2025-06-19,0
PAY092,UPI,Successful,2025-04-04,0
PAY093,UPI,Successful,2025-02-04,0
PAY094,Net Banking,Refunded,2025-10-01,19491
PAY095,Net Banking,Successful,2025-09-23,0
PAY096,Wallet,Successful,2025-01-10,0
PAY097,Wallet,Refunded,2025-10-04,112776
PAY098,Credit Card,Refunded,2025-09-13,18470
PAY099,UPI,Successful,2025-01-13,0
PAY100,Credit Card,Successful,2025-04-14,0
PAY101,Credit Card,Successful,2025-02-28,0
PAY102,Debit Card,Successful,2025-10-23,0
PAY103,Debit Card,Failed,2025-06-01,0
PAY104,Debit Card,Refunded,2025-07-24,64533
PAY105,Credit Card,Successful,2025-06-12,0
PAY106,Debit Card,Successful,2025-05-10,0
PAY107,UPI,Successful,2025-09-04,0
PAY108,Wallet,Refunded,2025-10-05,162732
PAY109,Credit Card,Failed,2025-08-13,0
PAY110,Wallet,Successful,2025-02-26,0
PAY111,Net Banking,Successful,2025-06-25,0
PAY112,UPI,Successful,2025-09-14,0
PAY113,Credit Card,Successful,2025-05-02,0
PAY114,Wallet,Successful,2025-03-31,0
PAY115,UPI,Refunded,2025-03-24,11369
PAY116,UPI,Successful,2025-03-11,0
PAY117,Credit Card,Successful,2025-05-10,0
PAY118,Credit Card,Successful,2025-06-03,0
PAY119,Debit Card,Successful,2025-10-19,0
PAY120,Credit Card,Refunded,2025-09-19,40253
PAY121,UPI,Successful,2025-03-29,0
PAY122,Debit Card,Successful,2025-02-04,0
PAY123,Net Banking,Successful,2025-03-31,0
PAY124,Credit Card,Successful,2025-06-20,0
PAY125,Debit Card,Successful,2025-01-27,0
PAY126,Net Banking,Successful,2025-04-27,0
PAY127,UPI,Successful,2025-06-10,0
PAY128,Net Banking,Successful,2025-02-20,0
PAY129,Credit Card,Successful,2025-05-01,0
PAY130,Net Banking,Successful,2025-07-16,0
PAY131,UPI,Successful,2025-01-26,0
PAY132,UPI,Successful,2025-05-07,0
PAY133,UPI,Successful,2025-05-06,0
PAY134,UPI,Successful,2025-09-19,0
PAY135,UPI,Successful,2025-06-07,0
PAY136,Debit Card,Successful,2025-02-11,0
PAY137,Credit Card,Successful,2025-07-28,0
PAY138,Credit Card,Successful,2025-02-04,0
PAY139,UPI,Successful,2025-10-17,0
PAY140,UPI,Successful,2025-02-03,0
PAY141,UPI,Successful,2025-09-12,0
PAY142,Net Banking,Successful,2025-07-23,0
PAY143,Debit Card,Successful,2025-04-28,0
PAY144,Wallet,Successful,2025-07-15,0
PAY145,Debit Card,Successful,2025-06-12,0
PAY146,UPI,Successful,2025-04-22,0
PAY147,Credit Card,Successful,2025-09-24,0
PAY148,Net Banking,Successful,2025-05-29,0
PAY149,Wallet,Successful,2025-06-03,0
PAY150,Credit Card,Successful,2025-09-25,0
PAY151,UPI,Successful,2025-09-27,0
PAY152,Credit Card,Successful,2025-08-15,0
PAY153,Debit Card,Successful,2025-09-29,0
PAY154,Net Banking,Successful,2025-04-30,0
PAY155,Credit Card,Refunded,2025-04-12,23182
PAY156,Debit Card,Successful,2025-01-10,0
PAY157,Credit Card,Successful,2025-10-29,0
PAY158,Credit Card,Successful,2025-04-26,0
PAY159,Credit Card,Successful,2025-08-06,0
PAY160,Debit Card,Successful,2025-01-31,0
PAY161,Wallet,Successful,2025-07-12,0
PAY162,Credit Card,Successful,2025-03-18,0
PAY163,UPI,Successful,2025-04-06,0
PAY164,Credit Card,Successful,2025-10-03,0
PAY165,Net Banking,Successful,2025-01-06,0
PAY166,Debit Card,Successful,2025-07-16,0
PAY167,Net Banking,Successful,2025-06-04,0
PAY168,Net Banking,Successful,2025-04-10,0
PAY169,UPI,Successful,2025-04-25,0
PAY170,Wallet,Successful,2025-07-07,0
PAY171,UPI,Successful,2025-01-21,0
PAY172,Wallet,Successful,2025-08-30,0
PAY173,UPI,Successful,2025-05-18,0
PAY174,UPI,Successful,2025-10-01,0
PAY175,Credit Card,Successful,2025-06-11,0
