Booking_ID,Customer_ID,Package_ID,Payment_ID,Booking_Date,Travel_Date,Travelers_Count,Booking_Status,Discount_Percent,Final_Price,Customer_Rating,Booking_Channel
BK025,C038,PKG028,PAY025,2025-09-28,2025-11-03,5,Confirmed,0,32440,4,Friend Referral
BK026,C031,PKG039,PAY026,2025-07-21,2025-09-07,4,Cancelled,20,244992,5,Website
BK027,C090,PKG054,PAY027,2025-01-21,2025-02-07,2,Confirmed,0,134460,4,Website
BK028,C025,PKG030,PAY028,2025-04-21,2025-05-04,2,Confirmed,10,117284,5,Friend Referral
BK029,C047,PKG033,PAY029,2025-08-02,2025-10-01,2,Cancelled,0,217858,4,Social Media
BK030,C112,PKG017,PAY030,2025-02-19,2025-04-07,2,Cancelled,5,40094,5,Mobile App
BK031,C032,PKG048,PAY031,2025-02-12,2025-03-23,2,Confirmed,20,69925,5,Website
BK032,C109,PKG025,PAY032,2025-04-16,2025-06-01,3,Confirmed,10,11605,5,Friend Referral
BK033,C058,PKG022,PAY033,2025-04-29,2025-06-24,6,Cancelled,10,57629,3,Mobile App
BK034,C017,PKG005,PAY034,2025-02-03,2025-03-31,5,Confirmed,0,99100,4,Mobile App
BK035,C044,PKG005,PAY035,2025-03-20,2025-05-02,2,Confirmed,5,37658,3,Mobile App
BK036,C084,PKG052,PAY036,2025-08-29,2025-10-14,2,Confirmed,5,15219,4,Mobile App
BK037,C028,PKG050,PAY037,2025-08-16,2025-09-23,5,Confirmed,10,104625,3,Mobile App
BK038,C091,PKG003,PAY038,2025-08-08,2025-09-16,2,Confirmed,5,229410,3,Website
BK039,C051,PKG009,PAY039,2025-04-12,2025-05-18,4,Confirmed,0,222748,3,Friend Referral
BK040,C121,PKG023,PAY040,2025-07-06,2025-08-15,2,Confirmed,0,100744,4,Social Media
BK041,C052,PKG008,PAY041,2025-06-09,2025-06-23,3,Confirmed,5,60813,3,Friend Referral
BK042,C034,PKG030,PAY042,2025-03-02,2025-04-09,3,Confirmed,5,185700,3,Friend Referral
BK043,C110,PKG023,PAY043,2025-09-09,2025-09-29,1,Confirmed,5,47853,5,Mobile App
BK044,C098,PKG036,PAY044,2025-02-17,2025-03-02,1,Confirmed,10,71417,4,Others
BK045,C089,PKG012,PAY045,2025-02-19,2025-03-17,4,Confirmed,0,736080,4,Social Media
BK046,C011,PKG024,PAY046,2025-01-23,2025-03-16,2,Confirmed,0,252164,5,Website
BK047,C039,PKG007,PAY047,2025-01-26,2025-03-06,1,Cancelled,15,3765,4,Friend Referral
BK048,C029,PKG012,PAY048,2025-09-05,2025-10-24,4,Confirmed,20,588864,4,Mobile App
BK049,C072,PKG014,PAY049,2025-04-11,2025-05-13,4,Cancelled,10,68386,4,Website
BK050,C023,PKG047,PAY050,2025-09-25,2025-10-28,5,Pending,10,83650,3,Social Media
BK051,C029,PKG004,PAY051,2025-04-10,2025-05-27,6,Confirmed,10,39528,3,Mobile App
BK052,C037,PKG033,PAY052,2025-06-20,2025-07-18,4,Confirmed,5,413930,5,Mobile App
BK053,C113,PKG057,PAY053,2025-04-25,2025-05-21,4,Confirmed,0,678200,4,Friend Referral
BK054,C030,PKG027,PAY054,2025-10-11,2025-11-04,4,Cancelled,20,165200,5,Friend Referral
BK055,C111,PKG060,PAY055,2025-07-02,2025-07-20,2,Cancelled,0,232790,4,Mobile App
BK056,C103,PKG012,PAY056,2025-10-13,2025-11-20,3,Confirmed,0,552060,3,Mobile App
BK057,C071,PKG046,PAY057,2025-08-13,2025-09-25,5,Confirmed,15,21428,4,Website
BK058,C042,PKG060,PAY058,2025-05-10,2025-06-11,2,Cancelled,0,232790,5,Social Media
BK059,C125,PKG021,PAY059,2025-08-15,2025-09-30,2,Confirmed,0,444536,4,Website
BK060,C008,PKG018,PAY060,2025-06-11,2025-07-03,1,Confirmed,5,80916,3,Mobile App
BK061,C072,PKG012,PAY061,2025-02-28,2025-04-03,4,Confirmed,0,736080,5,Mobile App
BK062,C068,PKG056,PAY062,2025-05-25,2025-07-19,5,Pending,20,108620,3,Mobile App
BK063,C026,PKG007,PAY063,2025-03-16,2025-04-24,5,Confirmed,0,22145,5,Website
BK064,C093,PKG046,PAY064,2025-03-29,2025-04-26,2,Confirmed,20,8067,5,Website
BK065,C118,PKG059,PAY065,2025-03-24,2025-04-27,1,Confirmed,5,67996,3,Friend Referral
BK066,C005,PKG036,PAY066,2025-04-17,2025-05-27,1,Confirmed,0,79352,4,Mobile App
BK067,C093,PKG040,PAY067,2025-06-17,2025-06-30,4,Confirmed,20,21968,3,Others
BK068,C074,PKG012,PAY068,2025-05-19,2025-07-04,4,Cancelled,0,736080,3,Mobile App
BK069,C094,PKG034,PAY069,2025-10-07,2025-11-04,5,Confirmed,5,25436,3,Website
BK070,C072,PKG016,PAY070,2025-01-25,2025-02-04,1,Confirmed,0,5219,4,Mobile App
BK071,C009,PKG006,PAY071,2025-02-23,2025-03-09,4,Confirmed,20,174835,3,Social Media
BK072,C033,PKG044,PAY072,2025-08-02,2025-09-09,3,Confirmed,0,76890,4,Website
BK073,C091,PKG030,PAY073,2025-10-25,2025-12-08,2,Pending,5,123800,3,Mobile App
BK074,C090,PKG027,PAY074,2025-09-30,2025-10-16,3,Confirmed,10,139388,4,Social Media
BK075,C105,PKG024,PAY075,2025-02-08,2025-03-28,4,Pending,10,453895,4,Social Media
BK076,C086,PKG039,PAY076,2025-04-14,2025-05-22,1,Confirmed,10,68904,4,Social Media
BK077,C053,PKG004,PAY077,2025-10-07,2025-10-22,3,Confirmed,10,19764,3,Social Media
BK078,C090,PKG005,PAY078,2025-09-29,2025-11-02,5,Confirmed,10,89190,3,Website
BK079,C105,PKG057,PAY079,2025-06-02,2025-07-27,2,Confirmed,10,305190,4,Social Media
BK080,C120,PKG049,PAY080,2025-01-26,2025-03-23,6,Cancelled,5,32764,4,Website
BK081,C029,PKG008,PAY081,2025-08-24,2025-09-20,1,Confirmed,10,19204,4,Friend Referral
BK082,C119,PKG001,PAY082,2025-02-06,2025-02-20,3,Cancelled,0,26820,3,Mobile App
BK083,C001,PKG058,PAY083,2025-07-06,2025-08-25,6,Confirmed,0,72336,4,Friend Referral
BK084,C104,PKG043,PAY084,2025-04-14,2025-06-13,6,Confirmed,15,33242,5,Friend Referral
BK085,C006,PKG049,PAY085,2025-06-02,2025-06-23,5,Confirmed,10,25866,4,Website
BK086,C047,PKG036,PAY086,2025-04-19,2025-05-17,1,Confirmed,0,79352,3,Mobile App
BK087,C114,PKG002,PAY087,2025-02-08,2025-04-06,5,Confirmed,0,171195,3,Social Media
BK088,C037,PKG040,PAY088,2025-05-24,2025-06-12,1,Confirmed,0,6865,5,Mobile App
BK089,C026,PKG029,PAY089,2025-05-01,2025-05-30,1,Confirmed,5,29526,4,Website
BK090,C109,PKG049,PAY090,2025-08-02,2025-09-29,5,Confirmed,10,25866,5,Friend Referral
BK091,C011,PKG050,PAY091,2025-06-17,2025-07-25,4,Confirmed,15,79050,5,Friend Referral
BK092,C047,PKG035,PAY092,2025-04-02,2025-04-27,4,Confirmed,15,40062,4,Others
BK093,C015,PKG057,PAY093,2025-02-02,2025-02-22,4,Confirmed,20,542560,3,Friend Referral
BK094,C043,PKG007,PAY094,2025-09-29,2025-10-14,5,Cancelled,5,21038,5,Website
BK095,C003,PKG023,PAY095,2025-09-23,2025-11-13,4,Pending,10,181339,5,Social Media
BK096,C109,PKG026,PAY096,2025-01-10,2025-03-04,5,Confirmed,5,82218,4,Friend Referral
BK097,C006,PKG002,PAY097,2025-10-04,2025-11-29,4,Cancelled,0,136956,3,Mobile App
BK098,C040,PKG047,PAY098,2025-09-12,2025-10-18,1,Cancelled,0,18589,5,Social Media
BK099,C020,PKG008,PAY099,2025-01-11,2025-02-22,5,Confirmed,5,101356,3,Friend Referral
BK100,C103,PKG012,PAY100,2025-04-14,2025-06-06,3,Confirmed,15,469251,3,Friend Referral
BK101,C059,PKG026,PAY101,2025-02-27,2025-03-11,5,Confirmed,0,86545,4,Social Media
BK102,C006,PKG034,PAY102,2025-10-22,2025-11-08,3,Cancelled,5,15262,4,Friend Referral
BK103,C049,PKG035,PAY103,2025-05-31,2025-07-20,3,Confirmed,10,31814,3,Website
BK104,C064,PKG053,PAY104,2025-07-24,2025-08-27,3,Cancelled,0,74004,5,Social Media
BK105,C077,PKG027,PAY105,2025-06-12,2025-07-12,4,Pending,5,196175,5,Mobile App
BK106,C003,PKG008,PAY106,2025-05-08,2025-06-01,1,Confirmed,10,19204,3,Mobile App
BK107,C116,PKG032,PAY107,2025-09-02,2025-09-27,2,Confirmed,0,32736,4,Website
BK108,C026,PKG042,PAY108,2025-10-03,2025-12-01,3,Cancelled,5,187995,3,Friend Referral
BK109,C077,PKG013,PAY109,2025-08-13,2025-10-11,4,Confirmed,5,27432,3,Mobile App
BK110,C106,PKG044,PAY110,2025-02-26,2025-04-17,4,Confirmed,0,102520,4,Social Media
BK111,C092,PKG007,PAY111,2025-06-23,2025-08-21,6,Confirmed,20,21259,3,Website
BK112,C052,PKG040,PAY112,2025-09-12,2025-10-28,2,Confirmed,20,10984,5,Website
BK113,C067,PKG032,PAY113,2025-05-02,2025-05-30,5,Confirmed,0,81840,4,Website
BK114,C049,PKG036,PAY114,2025-03-31,2025-05-08,2,Confirmed,20,126963,4,Mobile App
BK115,C023,PKG008,PAY115,2025-03-22,2025-04-07,1,Cancelled,5,20271,4,Mobile App
BK116,C079,PKG033,PAY116,2025-03-10,2025-04-23,3,Confirmed,10,294108,4,Mobile App
BK117,C013,PKG025,PAY117,2025-05-10,2025-05-20,5,Confirmed,0,21490,3,Website
BK118,C036,PKG046,PAY118,2025-06-01,2025-06-20,4,Confirmed,10,18151,3,Mobile App
BK119,C101,PKG043,PAY119,2025-10-18,2025-10-30,2,Pending,5,12384,4,Website
BK120,C017,PKG005,PAY120,2025-09-17,2025-10-29,3,Cancelled,0,59460,3,Mobile App
BK121,C124,PKG057,PAY121,2025-03-29,2025-05-15,4,Confirmed,10,610380,3,Website
BK122,C100,PKG044,PAY122,2025-02-02,2025-04-03,5,Confirmed,10,115335,3,Website
BK123,C006,PKG021,PAY123,2025-03-30,2025-04-10,3,Confirmed,0,666804,5,Friend Referral
BK124,C066,PKG056,PAY124,2025-06-20,2025-07-26,4,Cancelled,20,86896,3,Mobile App
BK125,C012,PKG039,PAY125,2025-01-27,2025-02-08,4,Confirmed,15,260304,4,Social Media
BK126,C091,PKG016,PAY126,2025-04-26,2025-05-08,5,Pending,20,20876,4,Friend Referral
BK127,C095,PKG014,PAY127,2025-06-09,2025-07-25,4,Confirmed,5,72185,5,Mobile App
BK128,C102,PKG055,PAY128,2025-02-19,2025-03-11,6,Confirmed,15,38612,4,Website
BK129,C093,PKG031,PAY129,2025-04-29,2025-06-23,5,Pending,10,18900,3,Website
BK130,C029,PKG028,PAY130,2025-07-15,2025-08-27,6,Confirmed,10,35035,5,Friend Referral
BK131,C003,PKG026,PAY131,2025-01-25,2025-03-04,4,Confirmed,0,69236,4,Others
BK132,C073,PKG058,PAY132,2025-05-07,2025-05-20,2,Confirmed,10,21701,4,Friend Referral
BK133,C109,PKG020,PAY133,2025-05-06,2025-05-22,1,Confirmed,0,57062,4,Website
BK134,C055,PKG043,PAY134,2025-09-19,2025-11-08,1,Confirmed,0,6518,3,Website
BK135,C031,PKG008,PAY135,2025-06-07,2025-06-21,4,Confirmed,20,68282,3,Website
BK136,C034,PKG022,PAY136,2025-02-10,2025-03-25,6,Confirmed,20,51226,5,Website
BK137,C061,PKG041,PAY137,2025-07-27,2025-08-28,3,Confirmed,5,42659,3,Social Media
BK138,C064,PKG050,PAY138,2025-02-02,2025-02-18,4,Pending,0,93000,5,Mobile App
BK139,C047,PKG053,PAY139,2025-10-15,2025-11-01,2,Confirmed,20,39469,5,Website
BK140,C062,PKG024,PAY140,2025-02-01,2025-03-15,4,Cancelled,0,504328,3,Website
BK141,C018,PKG010,PAY141,2025-09-10,2025-09-23,5,Pending,5,35193,3,Mobile App
BK142,C010,PKG014,PAY142,2025-07-23,2025-09-11,5,Pending,20,75984,4,Mobile App
BK143,C123,PKG051,PAY143,2025-04-27,2025-05-17,1,Confirmed,10,53487,5,Others
BK144,C067,PKG018,PAY144,2025-07-13,2025-08-13,2,Confirmed,10,153315,4,Website
BK145,C050,PKG004,PAY145,2025-06-12,2025-07-27,3,Pending,20,17568,5,Mobile App
BK146,C045,PKG007,PAY146,2025-04-21,2025-05-07,2,Confirmed,5,8415,5,Mobile App
BK147,C099,PKG020,PAY147,2025-09-23,2025-11-17,3,Confirmed,10,154067,5,Mobile App
BK148,C037,PKG042,PAY148,2025-05-29,2025-06-24,1,Confirmed,5,62665,4,Website
BK149,C055,PKG017,PAY149,2025-06-02,2025-06-23,4,Confirmed,0,84408,4,Friend Referral
BK150,C045,PKG004,PAY150,2025-09-25,2025-10-29,5,Confirmed,0,36600,3,Friend Referral
BK151,C094,PKG002,PAY151,2025-09-26,2025-10-06,4,Confirmed,0,136956,3,Mobile App
BK152,C053,PKG019,PAY152,2025-08-13,2025-10-09,2,Confirmed,15,15851,5,Mobile App
BK153,C034,PKG048,PAY153,2025-09-29,2025-11-15,4,Confirmed,10,157331,3,Friend Referral
BK154,C033,PKG024,PAY154,2025-04-30,2025-05-21,4,Cancelled,5,479112,3,Mobile App
BK155,C116,PKG034,PAY155,2025-04-11,2025-05-05,5,Cancelled,5,25436,3,Friend Referral
BK156,C020,PKG048,PAY156,2025-01-08,2025-01-28,3,Pending,10,117998,5,Social Media
BK157,C115,PKG005,PAY157,2025-10-27,2025-11-15,4,Confirmed,10,71352,3,Others
BK158,C097,PKG040,PAY158,2025-04-25,2025-06-08,6,Confirmed,0,41190,3,Friend Referral
BK159,C033,PKG011,PAY159,2025-08-04,2025-09-28,4,Confirmed,5,168408,3,Friend Referral
BK160,C104,PKG022,PAY160,2025-01-31,2025-03-14,3,Confirmed,20,25613,5,Social Media
BK161,C113,PKG039,PAY161,2025-07-10,2025-07-26,2,Confirmed,15,130152,4,Social Media
BK162,C097,PKG035,PAY162,2025-03-17,2025-05-01,3,Confirmed,10,31814,4,Website
BK163,C034,PKG019,PAY163,2025-04-05,2025-05-23,1,Confirmed,15,7925,5,Friend Referral
BK164,C003,PKG010,PAY164,2025-10-02,2025-11-06,4,Confirmed,0,29636,4,Others
BK165,C087,PKG015,PAY165,2025-01-06,2025-02-24,2,Confirmed,20,182283,4,Social Media
BK166,C111,PKG036,PAY166,2025-07-14,2025-09-11,1,Cancelled,0,79352,5,Social Media
BK167,C093,PKG015,PAY167,2025-06-03,2025-06-24,2,Confirmed,15,193676,4,Website
BK168,C093,PKG006,PAY168,2025-04-09,2025-04-23,3,Confirmed,15,139322,5,Mobile App
BK169,C008,PKG016,PAY169,2025-04-24,2025-05-16,1,Confirmed,0,5219,4,Website
BK170,C105,PKG047,PAY170,2025-07-06,2025-08-27,3,Confirmed,0,55767,4,Website
BK171,C100,PKG031,PAY171,2025-01-20,2025-01-30,6,Confirmed,5,23940,5,Website
BK172,C070,PKG015,PAY172,2025-08-30,2025-09-26,2,Pending,15,193676,5,Friend Referral
BK173,C110,PKG003,PAY173,2025-05-16,2025-06-25,1,Confirmed,15,102631,5,Mobile App
BK174,C002,PKG054,PAY174,2025-09-30,2025-11-16,3,Confirmed,10,181521,3,Website
BK175,C085,PKG030,PAY175,2025-06-09,2025-07-19,2,Pending,10,117284,3,Mobile App
